央视,#genre#
CCTV-1综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8#http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8#http://221.2.146.228:8888/newlive/live/hls/2/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8#http://58.220.219.14:9901/tsfile/live/0001_1.m3u8?key=txiptv#http://1278.hsmedia.top:8080/newlive/live/hls/1/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/2/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/2/live.m3u8#http://58.19.38.233:8888/newlive/live/hls/2/live.m3u8#http://183.134.3.22:8888/newlive/live/hls/2/live.m3u8#http://111.225.93.57:8800/hls/1/index.m3u8
CCTV-2财经,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8#http://58.220.219.14:9901/tsfile/live/0002_1.m3u8?key=txiptv#http://1278.hsmedia.top:8080/newlive/live/hls/2/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/3/live.m3u8#http://61.182.33.218:8000/hls/2/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/3/live.m3u8#http://183.134.3.22:8888/newlive/live/hls/3/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV-3综艺,https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8#http://58.220.219.14:9901/tsfile/live/0003_1.m3u8?key=txiptv#http://1278.hsmedia.top:8080/newlive/live/hls/3/live.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8#http://58.19.38.233:8888/newlive/live/hls/4/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/4/live.m3u8#http://61.182.33.218:8000/hls/3/index.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000#http://183.134.3.22:8888/newlive/live/hls/4/live.m3u8
CCTV-4中文国际,http://58.220.219.14:9901/tsfile/live/0004_1.m3u8?key=txiptv#http://61.182.33.218:8000/hls/4/index.m3u8#http://221.2.146.228:8888/newlive/live/hls/5/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/5/live.m3u8#http://58.19.38.233:8888/newlive/live/hls/5/live.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000#http://36.33.240.48:9901/tsfile/live/0004_1.m3u8
CCTV-4北美,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5体育,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://1278.hsmedia.top:8080/newlive/live/hls/5/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://58.19.38.233:8888/newlive/live/hls/6/live.m3u8#http://183.134.3.22:8888/newlive/live/hls/6/live.m3u8#http://36.33.240.48:9901/tsfile/live/0005_1.m3u8
CCTV-5+体育赛事,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8#http://1639.hsmedia.top:8080/newlive/live/hls/7/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/7/live.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV-6电影,http://1278.hsmedia.top:8080/newlive/live/hls/6/live.m3u8#http://58.220.219.14:9901/tsfile/live/0006_1.m3u8?key=txiptv#http://1304.hsmedia.top:8080/newlive/live/hls/7/live.m3u8#http://58.19.38.233:8888/newlive/live/hls/8/live.m3u8
CCTV-7国防军事,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8#http://183.134.3.22:8888/newlive/live/hls/8/live.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/7/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/9/live.m3u8#http://36.33.240.48:9901/tsfile/live/0007_1.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/8/live.m3u8#http://58.220.219.14:9901/tsfile/live/0007_1.m3u8?key=txiptv#https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV-8电视剧,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8#http://183.134.3.22:8888/newlive/live/hls/9/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/8/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://58.19.38.233:8888/newlive/live/hls/10/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/9/live.m3u8#https://epg.pw/stream/9e5ef6be8ac32d23db431bdc8d9d49531b4bdf96d53db08dd102919b70f12e88.m3u8
CCTV-9记录,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/9/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?#http://61.182.33.218:8000/hls/9/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8#http://58.220.219.14:9901/tsfile/live/0009_1.m3u8?key=txiptv#https://epg.pw/stream/468810bb8a5aea0738c0e707e4b0ed227aeb431a11a977aa1a43fd542997f525.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/10/live.m3u8#http://36.33.240.48:9901/tsfile/live/0009_1.m3u8
CCTV-10科教,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/12/live.m3u8#http://58.19.38.233:8888/newlive/live/hls/12/live.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/10/live.m3u8#http://36.33.240.48:9901/tsfile/live/0010_1.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/11/live.m3u8
CCTV-11戏曲,http://58.19.38.233:8888/newlive/live/hls/13/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/12/live.m3u8#http://36.33.240.48:9901/tsfile/live/0011_1.m3u8
CCTV-12社会与法,http://1278.hsmedia.top:8080/newlive/live/hls/12/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/14/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/13/live.m3u8#http://36.33.240.48:9901/tsfile/live/0012_1.m3u8
CCTV-13新闻,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8#https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/13/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/14/live.m3u8
CCTV-14少儿,http://1639.hsmedia.top:8080/newlive/live/hls/16/live.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/14/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/16/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/15/live.m3u8#http://36.33.240.48:9901/tsfile/live/0014_1.m3u8#https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
CCTV-15音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-16奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/17/live.m3u8#https://live.goodiptv.club/api/cqyx.php?id=CCTV16_4K
CCTV-17 农业农村,https://node1.olelive.com:6443/live/CCTV17HD/hls.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/18/live.m3u8
卫视,#genre#
江苏卫视,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000#http://1304.hsmedia.top:8080/newlive/live/hls/32/live.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/21/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/29/live.m3u8
东方卫视,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000#http://1304.hsmedia.top:8080/newlive/live/hls/30/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/39/live.m3u8
北京卫视,http://1304.hsmedia.top:8080/newlive/live/hls/29/live.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/22/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/28/live.m3u8
浙江卫视,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000#http://1304.hsmedia.top:8080/newlive/live/hls/31/live.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/20/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/30/live.m3u8
山东卫视,https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000#http://1304.hsmedia.top:8080/newlive/live/hls/35/live.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/26/live.m3u8#http://1583.hsmedia.top:8080/newlive/live/hls/20/live.m3u8
安徽卫视,https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000#http://1583.hsmedia.top:8080/newlive/live/hls/41/live.m3u8
